date,device_id,code,min,avg,max,n
2026-08-14,bf43cf664d6644420axva3,va_humidity,48,48.00,48,24
2026-08-14,bf43cf664d6644420axva3,va_temperature,24.7,24.89,25.1,24
2026-08-14,bf5741c97c96fa85b1d7do,va_humidity,48,49.42,50,24
2026-08-14,bf5741c97c96fa85b1d7do,va_temperature,24.8,25.03,25.2,24
2026-08-14,bf7e2a70935af7de78mjqt,va_humidity,46,46.00,46,24
2026-08-14,bf7e2a70935af7de78mjqt,va_temperature,25.1,25.35,25.6,24
2026-08-14,bfd6f4f87fea9d866dvpve,va_humidity,49,49.67,50,24
2026-08-14,bfd6f4f87fea9d866dvpve,va_temperature,25.5,25.64,25.7,24
2026-08-14,zewnatrz,va_humidity,28,38.17,47,24
2026-08-14,zewnatrz,va_temperature,16.1,21.77,26.8,24
2026-08-15,bf43cf664d6644420axva3,va_humidity,48,48.00,48,24
2026-08-15,bf43cf664d6644420axva3,va_temperature,24.9,25.04,25.2,24
2026-08-15,bf5741c97c96fa85b1d7do,va_humidity,48,49.79,51,24
2026-08-15,bf5741c97c96fa85b1d7do,va_temperature,24.8,25.14,25.4,24
2026-08-15,bf7e2a70935af7de78mjqt,va_humidity,46,46.29,47,24
2026-08-15,bf7e2a70935af7de78mjqt,va_temperature,25.2,25.47,25.7,24
2026-08-15,bfd6f4f87fea9d866dvpve,va_humidity,48,49.42,50,24
2026-08-15,bfd6f4f87fea9d866dvpve,va_temperature,25.5,25.72,25.9,24
2026-08-15,zewnatrz,va_humidity,18,37.83,62,24
2026-08-15,zewnatrz,va_temperature,17.3,25.22,32.6,24
2026-08-16,bf43cf664d6644420axva3,va_humidity,48,48.00,48,9
2026-08-16,bf43cf664d6644420axva3,va_temperature,25.1,25.19,25.2,9
2026-08-16,bf5741c97c96fa85b1d7do,va_humidity,50,50.33,51,9
2026-08-16,bf5741c97c96fa85b1d7do,va_temperature,25.2,25.27,25.3,9
2026-08-16,bf7e2a70935af7de78mjqt,va_humidity,46,46.44,47,9
2026-08-16,bf7e2a70935af7de78mjqt,va_temperature,25.7,25.70,25.7,9
2026-08-16,bfd6f4f87fea9d866dvpve,va_humidity,49,49.33,50,9
2026-08-16,bfd6f4f87fea9d866dvpve,va_temperature,25.9,25.94,26,9
2026-08-16,zewnatrz,va_humidity,31,39.44,48,9
2026-08-16,zewnatrz,va_temperature,21.9,23.19,24.7,9
